id,photographer_name
0,Morten Thorkildsen
1,Børre Høstland
2,Jeanette Veiby
3,Frode Larsen
4,Anne Hansteen Jarre
5,Dag A. Ivarsøy
6,Therese Husby
7,Dag Andre Ivarsøy
8,Jacques Lathion
9,Børre Høstland
10,Andreas Harvik
11,Ukjent
12,Stein Jorgensen
13,Øyvind Andersen
14,Jaques Lathion
15,Ole Henrik Storeheier
16,"Dag A, Ivarsøy"
17,Anne Hansteen
18,Ukjent
19,Scanned by Dag A. Ivarsøy
20,Børre Høstland/ Andreas Harvik
21,Annar Bjørgli
22,Angela Musil-Jantjes
23,Ukjent
24,Stein Jørgensen
25,Knut Øystein Nerdrum
26,"Børre Høstland, Knut Øystein Nerdrum"
